date,open,high,low,close,volume
1980-12-12,0.1003,0.1007,0.1003,0.1003,469033600
1980-12-15,0.0955,0.0955,0.0951,0.0951,175884800
1980-12-16,0.0885,0.0885,0.0881,0.0881,105728000
1980-12-17,0.0902,0.0907,0.0902,0.0902,86441600
1980-12-18,0.0929,0.0933,0.0929,0.0929,73449600
1980-12-19,0.0985,0.0990,0.0985,0.0985,48630400
1980-12-22,0.1034,0.1038,0.1034,0.1034,37363200
1980-12-23,0.1077,0.1081,0.1077,0.1077,46950400
1980-12-24,0.1134,0.1138,0.1134,0.1134,48003200
1980-12-26,0.1238,0.1243,0.1238,0.1238,55574400
1980-12-29,0.1256,0.1260,0.1256,0.1256,93161600
1980-12-30,0.1230,0.1230,0.1225,0.1225,68880000
1980-12-31,0.1195,0.1195,0.1191,0.1191,35750400
1981-01-02,0.1203,0.1212,0.1203,0.1203,21660800
1981-01-05,0.1181,0.1181,0.1177,0.1177,35728000
1981-01-06,0.1129,0.1129,0.1125,0.1125,45158400
1981-01-07,0.1081,0.1081,0.1077,0.1077,55686400
1981-01-08,0.1059,0.1059,0.1055,0.1055,39827200
1981-01-09,0.1112,0.1116,0.1112,0.1112,21504000
1981-01-12,0.1112,0.1112,0.1103,0.1103,23699200
1981-01-13,0.1068,0.1068,0.1064,0.1064,23049600
1981-01-14,0.1068,0.1073,0.1068,0.1068,14291200
1981-01-15,0.1090,0.1099,0.1090,0.1090,14067200
1981-01-16,0.1086,0.1086,0.1081,0.1081,13395200
1981-01-19,0.1147,0.1151,0.1147,0.1147,41574400
1981-01-20,0.1116,0.1116,0.1112,0.1112,30083200
1981-01-21,0.1134,0.1142,0.1134,0.1134,15904000
1981-01-22,0.1147,0.1156,0.1147,0.1147,35548800
1981-01-23,0.1147,0.1151,0.1142,0.1142,11222400
1981-01-26,0.1129,0.1129,0.1125,0.1125,24640000
1981-01-27,0.1125,0.1125,0.1116,0.1116,23699200
1981-01-28,0.1086,0.1086,0.1081,0.1081,28156800
1981-01-29,0.1046,0.1046,0.1042,0.1042,43904000
1981-01-30,0.0994,0.0994,0.0985,0.0985,46188800
1981-02-02,0.0933,0.0933,0.0929,0.0929,23766400
1981-02-03,0.0963,0.0968,0.0963,0.0963,19152000
1981-02-04,0.0998,0.1003,0.0998,0.0998,27865600
1981-02-05,0.0998,0.1007,0.0998,0.0998,7929600
1981-02-06,0.1003,0.1007,0.1003,0.1003,13865600
1981-02-09,0.0959,0.0959,0.0951,0.0951,16755200
1981-02-10,0.0951,0.0955,0.0951,0.0951,18345600
1981-02-11,0.0924,0.0924,0.0920,0.0920,13843200
1981-02-12,0.0916,0.0916,0.0911,0.0911,14560000
1981-02-13,0.0898,0.0898,0.0890,0.0890,11155200
1981-02-17,0.0911,0.0916,0.0911,0.0911,12275200
1981-02-18,0.0951,0.0959,0.0951,0.0951,19241600
1981-02-19,0.0898,0.0898,0.0894,0.0894,22310400
1981-02-20,0.0850,0.0850,0.0846,0.0846,24371200
1981-02-23,0.0859,0.0863,0.0859,0.0859,14112000
1981-02-24,0.0837,0.0837,0.0828,0.0828,16979200
1981-02-25,0.0881,0.0885,0.0881,0.0881,19488000
1981-02-26,0.0894,0.0898,0.0894,0.0894,10841600
1981-02-27,0.0924,0.0933,0.0924,0.0924,14761600
1981-03-02,0.0929,0.0933,0.0929,0.0929,11760000
1981-03-03,0.0920,0.0920,0.0916,0.0916,16172800
1981-03-04,0.0911,0.0911,0.0907,0.0907,13708800
1981-03-05,0.0907,0.0907,0.0902,0.0902,5376000
1981-03-06,0.0902,0.0902,0.0894,0.0894,11603200
1981-03-09,0.0828,0.0828,0.0824,0.0824,15321600
1981-03-10,0.0789,0.0789,0.0785,0.0785,28380800
1981-03-11,0.0763,0.0763,0.0754,0.0754,29859200
1981-03-12,0.0785,0.0789,0.0785,0.0785,59248000
1981-03-13,0.0780,0.0780,0.0776,0.0776,231302400
1981-03-16,0.0807,0.0815,0.0807,0.0807,37228800
1981-03-17,0.0846,0.0855,0.0846,0.0846,43747200
1981-03-18,0.0898,0.0907,0.0898,0.0898,36937600
1981-03-19,0.0894,0.0894,0.0890,0.0890,37811200
1981-03-20,0.0898,0.0907,0.0898,0.0898,14604800
1981-03-23,0.0933,0.0942,0.0933,0.0933,22019200
1981-03-24,0.0933,0.0933,0.0929,0.0929,28156800
1981-03-25,0.0920,0.0920,0.0911,0.0911,7056000
1981-03-26,0.0898,0.0898,0.0894,0.0894,12275200
1981-03-27,0.0868,0.0868,0.0863,0.0863,12252800
1981-03-30,0.0863,0.0872,0.0863,0.0863,9900800
1981-03-31,0.0863,0.0863,0.0855,0.0855,15993600
1981-04-01,0.0850,0.0850,0.0846,0.0846,34070400
1981-04-02,0.0920,0.0924,0.0920,0.0920,31404800
1981-04-03,0.0924,0.0929,0.0924,0.0924,16486400
1981-04-06,0.0911,0.0911,0.0907,0.0907,22803200
1981-04-07,0.0902,0.0902,0.0898,0.0898,10684800
1981-04-08,0.0942,0.0951,0.0942,0.0942,21952000
1981-04-09,0.0959,0.0963,0.0959,0.0959,12499200
1981-04-10,0.0973,0.0977,0.0973,0.0973,33465600
1981-04-13,0.0973,0.0977,0.0973,0.0973,16060800
1981-04-14,0.0973,0.0977,0.0973,0.0973,6652800
1981-04-15,0.0929,0.0929,0.0924,0.0924,34048000
1981-04-16,0.0876,0.0876,0.0872,0.0872,23878400
1981-04-20,0.0898,0.0902,0.0898,0.0898,35347200
1981-04-21,0.0959,0.0963,0.0959,0.0959,28537600
1981-04-22,0.0994,0.0998,0.0994,0.0994,18995200
1981-04-23,0.1020,0.1025,0.1020,0.1020,58016000
1981-04-24,0.1020,0.1020,0.1012,0.1012,35056000
1981-04-27,0.1007,0.1007,0.1003,0.1003,38528000
1981-04-28,0.0990,0.0990,0.0985,0.0985,32188800
1981-04-29,0.0977,0.0977,0.0973,0.0973,13641600
1981-04-30,0.0990,0.0998,0.0990,0.0990,12611200
1981-05-01,0.0990,0.0998,0.0990,0.0990,16553600
1981-05-04,0.0990,0.0990,0.0985,0.0985,14448000
